instruction_type,sdlc_stage,count
commands,Documentation,1
commands,Requirements,0
commands,Software Design,3
commands,Code Generation,13
commands,Software Testing,15
commands,DevOps,14
instructive,Documentation,23
instructive,Requirements,10
instructive,Software Design,22
instructive,Code Generation,32
instructive,Software Testing,36
instructive,DevOps,25
descriptive,Documentation,10
descriptive,Requirements,3
descriptive,Software Design,14
descriptive,Code Generation,11
descriptive,Software Testing,15
descriptive,DevOps,15
reference,Documentation,7
reference,Requirements,5
reference,Software Design,17
reference,Code Generation,26
reference,Software Testing,24
reference,DevOps,17
positive-examples,Documentation,7
positive-examples,Requirements,2
positive-examples,Software Design,7
positive-examples,Code Generation,21
positive-examples,Software Testing,9
positive-examples,DevOps,11
negative-examples,Documentation,0
negative-examples,Requirements,1
negative-examples,Software Design,1
negative-examples,Code Generation,5
negative-examples,Software Testing,7
negative-examples,DevOps,2
